run_id,taskid,search_correct,n_req,n_att,n_ok,unique_ok_tokens,academic_frac,sim_pb,sim_pq,sim_bq,drop_pq,ret_identity_brief,ret_decision_style_brief,ret_interests_brief,ret_goals_constraints_brief,ret_identity_query,ret_decision_style_query,ret_interests_query,ret_goals_constraints_query,drop_identity,drop_decision_style,drop_interests,drop_goals_constraints
pilot_task12_User2_seed0,12,True,22,7,5,44,0.0,0.2834520637989044,0.2549605965614319,0.5083119869232178,0.028491467237472534,0.04950495049504951,0.1346153846153846,0.07883817427385892,0.06451612903225806,0.0,0.019230769230769232,0.016597510373443983,0.010752688172043012,0.04950495049504951,0.11538461538461538,0.06224066390041494,0.05376344086021505
pilot_task12_User2_seed1,12,True,39,7,5,32,0.0,0.28177738189697266,0.234275221824646,0.4318126440048218,0.04750216007232666,0.0594059405940594,0.17307692307692307,0.0995850622406639,0.043010752688172046,0.0,0.019230769230769232,0.012448132780082987,0.0,0.0594059405940594,0.15384615384615385,0.08713692946058091,0.043010752688172046
pilot_task12_User5_seed0,12,False,29,7,5,33,0.13333333333333333,0.2754111886024475,0.16793274879455566,0.5241649150848389,0.10747843980789185,0.11206896551724138,0.09090909090909091,0.09803921568627451,0.08620689655172414,0.017241379310344827,0.0,0.01568627450980392,0.034482758620689655,0.09482758620689655,0.09090909090909091,0.08235294117647059,0.05172413793103449
pilot_task12_User5_seed1,12,False,22,7,5,34,0.3333333333333333,0.10637125372886658,0.15054765343666077,0.5130814909934998,-0.04417639970779419,0.08620689655172414,0.12727272727272726,0.09803921568627451,0.1206896551724138,0.017241379310344827,0.0,0.027450980392156862,0.017241379310344827,0.06896551724137931,0.12727272727272726,0.07058823529411765,0.10344827586206898
pilot_task12_User9_seed0,12,True,30,7,5,33,0.2,0.2748967707157135,0.26508212089538574,0.5881921648979187,0.009814649820327759,0.10526315789473684,0.0,0.09876543209876543,0.13725490196078433,0.02631578947368421,0.0,0.012345679012345678,0.00980392156862745,0.07894736842105263,0.0,0.08641975308641975,0.12745098039215688
pilot_task12_User9_seed1,12,True,23,7,5,16,0.0,0.3339277505874634,0.21272292733192444,0.4048473834991455,0.12120482325553894,0.19736842105263158,0.0,0.07407407407407407,0.11764705882352941,0.039473684210526314,0.0,0.0,0.00980392156862745,0.15789473684210525,0.0,0.07407407407407407,0.10784313725490197
pilot_task14_User14_seed0,14,False,8,4,4,24,0.0,0.11011263728141785,-0.05517713725566864,0.6414223313331604,0.1652897745370865,0.06666666666666667,0.0,0.06542056074766354,0.04201680672268908,0.0,0.0,0.009345794392523364,0.008403361344537815,0.06666666666666667,0.0,0.05607476635514018,0.033613445378151266
pilot_task14_User14_seed1,14,False,4,4,4,24,0.08333333333333333,0.0034738611429929733,0.05203832685947418,0.5726423859596252,-0.04856446571648121,0.05714285714285714,0.0,0.056074766355140186,0.03361344537815126,0.009523809523809525,0.0,0.009345794392523364,0.008403361344537815,0.047619047619047616,0.0,0.04672897196261682,0.025210084033613446
pilot_task14_User22_seed0,14,True,15,7,5,39,0.06666666666666667,-0.009083002805709839,0.04892323911190033,0.7363327741622925,-0.05800624191761017,0.05737704918032787,0.014705882352941176,0.055299539170506916,0.061946902654867256,0.0,0.014705882352941176,0.013824884792626729,0.017699115044247787,0.05737704918032787,0.0,0.041474654377880185,0.04424778761061947
pilot_task14_User22_seed1,14,True,27,7,5,31,0.06666666666666667,-0.015272611752152443,0.06542478501796722,0.725151002407074,-0.08069739677011967,0.07377049180327869,0.058823529411764705,0.07834101382488479,0.10619469026548672,0.00819672131147541,0.014705882352941176,0.018433179723502304,0.02654867256637168,0.06557377049180328,0.044117647058823525,0.05990783410138248,0.07964601769911504
pilot_task14_User3_seed0,14,True,6,4,4,25,0.08333333333333333,0.1702689528465271,-0.004253826104104519,0.6508188247680664,0.17452277895063162,0.05785123966942149,0.0,0.06666666666666667,0.05357142857142857,0.0,0.0,0.011111111111111112,0.008928571428571428,0.05785123966942149,0.0,0.05555555555555555,0.04464285714285714
pilot_task14_User3_seed1,14,False,23,7,6,42,0.06666666666666667,-0.025945477187633514,-0.013219972141087055,0.729651689529419,-0.01272550504654646,0.03305785123966942,0.0,0.08888888888888889,0.05357142857142857,0.0,0.0,0.011111111111111112,0.008928571428571428,0.03305785123966942,0.0,0.07777777777777778,0.04464285714285714
pilot_task17_User10_seed0,17,True,34,7,5,37,0.0,0.4068949222564697,0.40292391180992126,0.46651557087898254,0.003971010446548462,0.18461538461538463,0.0,0.10476190476190476,0.07964601769911504,0.03076923076923077,0.0,0.02857142857142857,0.02654867256637168,0.15384615384615385,0.0,0.0761904761904762,0.05309734513274336
pilot_task17_User10_seed1,17,True,29,7,5,28,0.0,0.42879146337509155,0.30067330598831177,0.40590399503707886,0.12811815738677979,0.2,0.0,0.13333333333333333,0.08849557522123894,0.023076923076923078,0.0,0.02857142857142857,0.017699115044247787,0.17692307692307693,0.0,0.10476190476190476,0.07079646017699115
pilot_task17_User16_seed0,17,True,27,7,5,36,0.0,0.28974097967147827,0.31592828035354614,0.5443033576011658,-0.02618730068206787,0.14285714285714285,0.0,0.05319148936170213,0.07142857142857142,0.009523809523809525,0.0,0.031914893617021274,0.007142857142857143,0.13333333333333333,0.0,0.021276595744680854,0.06428571428571428
pilot_task17_User16_seed1,17,True,29,7,5,35,0.0,0.15309369564056396,0.2900899052619934,0.5388306975364685,-0.13699620962142944,0.1523809523809524,0.0,0.05319148936170213,0.09285714285714286,0.0,0.0,0.010638297872340425,0.0,0.1523809523809524,0.0,0.0425531914893617,0.09285714285714286
pilot_task17_User17_seed0,17,False,30,7,5,25,0.0,0.3038613200187683,0.31985974311828613,0.475495308637619,-0.015998423099517822,0.06756756756756757,0.0,0.09574468085106383,0.05504587155963303,0.04054054054054054,0.0,0.031914893617021274,0.01834862385321101,0.02702702702702703,0.0,0.06382978723404256,0.03669724770642202
